Month,"Coal Electric Power Sector, Net Summer Capacity","Petroleum Electric Power Sector, Net Summer Capacity","Natural Gas Electric Power Sector, Net Summer Capacity","Fossil Fuels Electric Power Sector, Net Summer Capacity","Nuclear Electric Power Sector, Net Summer Capacity","Hydroelectric Pumped Storage Electric Power Sector, Net Summer Capacity","Conventional Hydroelectric Power Electric Power Sector, Net Summer Capacity","Wood Electric Power Sector, Net Summer Capacity","Waste Electric Power Sector, Net Summer Capacity","Geothermal Electric Power Sector, Net Summer Capacity ","Solar Electric Power Sector, Net Summer Capacity","Wind Electric Power Sector, Net Summer Capacity","Renewable Energy Electric Power Sector, Net Summer Capacity ","Battery Storage Electric Power Sector, Net Summer Capacity","Total Electric Power Sector, Net Summer Capacity"
2016-10-01,265.142,33.756,431.257,730.517,99.565,22.779,79.554,3.207,4.186,2.517,17.919,75.389,182.771,0.478,1036.295
2016-11-01,265.132,33.78,431.593,730.866,99.565,22.779,79.554,3.207,4.205,2.517,18.634,76.266,184.382,0.478,1038.255
2016-12-01,264.343,33.174,430.355,728.234,99.565,22.779,79.556,3.166,4.202,2.517,21.631,81.198,192.269,0.557,1043.59
2017-01-01,260.683,32.673,432.808,726.526,99.61,22.753,79.3,2.994,4.195,2.511,22.035,81.617,192.653,0.571,1042.982
2017-02-01,260.474,32.673,433.155,726.664,99.61,22.753,79.3,2.994,4.194,2.511,22.224,81.866,193.09,0.579,1043.565
2017-03-01,260.03,32.647,433.366,726.405,99.61,22.753,79.303,2.994,4.202,2.451,22.609,82.944,194.504,0.609,1044.75
2017-04-01,258.8,32.647,435.612,727.421,99.61,22.753,79.303,2.994,4.224,2.451,23.132,83.095,195.2,0.625,1046.478
2017-05-01,258.8,32.646,435.642,727.45,99.61,22.81,79.303,2.994,4.223,2.451,23.434,83.248,195.653,0.638,1047.03
2017-06-01,257.04,32.151,437.158,726.712,99.61,22.81,79.31,2.994,4.238,2.451,23.656,83.403,196.052,0.64,1046.693
2017-07-01,257.04,32.105,438.091,727.598,99.629,22.81,79.361,3.048,4.241,2.451,23.77,83.885,196.755,0.642,1048.304
