Month,"Average Price of Electricity to Ultimate Customers, Residential","Average Price of Electricity to Ultimate Customers, Commercial","Average Price of Electricity to Ultimate Customers, Industrial","Average Price of Electricity to Ultimate Customers, Transportation","Average Price of Electricity to Ultimate Customers, Other","Average Price of Electricity to Ultimate Customers, Total"
1995-10-01,8.65,7.85,4.71,Not Available,7.03,6.95
1995-11-01,8.26,7.6,4.51,Not Available,6.82,6.7
1995-12-01,8.02,7.36,4.48,Not Available,6.7,6.64
1996-01-01,7.75,7.31,4.47,Not Available,6.68,6.61
1996-02-01,7.81,7.39,4.5,Not Available,6.74,6.6
1996-03-01,8.09,7.46,4.49,Not Available,6.83,6.65
1996-04-01,8.24,7.48,4.46,Not Available,6.75,6.63
1996-05-01,8.54,7.62,4.54,Not Available,7.01,6.77
1996-06-01,8.65,7.72,4.73,Not Available,7.25,7.03
1996-07-01,8.73,7.95,4.88,Not Available,7.1,7.27
1996-08-01,8.86,7.99,4.84,Not Available,7.08,7.3
1996-09-01,8.79,7.96,4.78,Not Available,6.92,7.16
1996-10-01,8.67,7.84,4.61,Not Available,7.11,6.91
1996-11-01,8.25,7.52,4.45,Not Available,6.8,6.65
1996-12-01,7.99,7.29,4.38,Not Available,6.63,6.58
1997-01-01,7.87,7.27,4.41,Not Available,6.82,6.62
1997-02-01,7.98,7.38,4.41,Not Available,6.74,6.61
1997-03-01,8.24,7.44,4.41,Not Available,6.98,6.66
1997-04-01,8.38,7.4,4.33,Not Available,6.86,6.59
1997-05-01,8.65,7.58,4.39,Not Available,7,6.72
1997-06-01,8.91,7.88,4.61,Not Available,7.12,7.08
1997-07-01,8.74,7.86,4.82,Not Available,6.83,7.25
1997-08-01,8.8,7.91,4.76,Not Available,7.12,7.23
1997-09-01,8.75,7.86,4.73,Not Available,7.05,7.12
1997-10-01,8.59,7.66,4.61,Not Available,6.9,6.9
1997-11-01,8.25,7.43,4.45,Not Available,6.75,6.65
1997-12-01,8.03,7.24,4.36,Not Available,6.73,6.6
1998-01-01,7.87,7.22,4.36,Not Available,6.34,6.57
1998-02-01,7.97,7.29,4.31,Not Available,6.68,6.52
1998-03-01,8.01,7.28,4.33,Not Available,6.67,6.53
1998-04-01,8.23,7.31,4.3,Not Available,6.68,6.51
1998-05-01,8.49,7.45,4.41,Not Available,6.68,6.67
1998-06-01,8.53,7.61,4.65,Not Available,6.83,6.97
1998-07-01,8.58,7.69,4.85,Not Available,6.85,7.21
1998-08-01,8.57,7.67,4.78,Not Available,6.7,7.14
1998-09-01,8.43,7.55,4.62,Not Available,6.58,6.95
1998-10-01,8.25,7.44,4.42,Not Available,6.75,6.69
1998-11-01,8.04,7.11,4.32,Not Available,6.1,6.39
1998-12-01,7.92,7.11,4.3,Not Available,6.7,6.46
1999-01-01,7.58,6.99,4.28,Not Available,6.35,6.42
1999-02-01,7.92,7.18,4.32,Not Available,6.17,6.5
1999-03-01,7.9,7.15,4.19,Not Available,6.32,6.43
1999-04-01,8.09,7.08,4.24,Not Available,6.32,6.4
1999-05-01,8.27,7.21,4.3,Not Available,6.39,6.5
1999-06-01,8.43,7.42,4.54,Not Available,6.45,6.83
1999-07-01,8.49,7.56,4.8,Not Available,6.45,7.11
1999-08-01,8.42,7.49,4.87,Not Available,6.44,7.08
1999-09-01,8.36,7.45,4.57,Not Available,6.39,6.87
1999-10-01,8.37,7.41,4.47,Not Available,6.49,6.7
1999-11-01,8.09,7.13,4.27,Not Available,6.16,6.39
1999-12-01,7.94,6.88,4.19,Not Available,6.26,6.41
