Month,Small-Scale Solar Energy Consumption for Heat: Total,Small-Scale Solar Energy Consumption for Electricity: Residential Sector,Small-Scale Solar Energy Consumption for Electricity: Commercial Sector,Small-Scale Solar Energy Consumption for Electricity: Industrial Sector,Small-Scale Solar Energy Consumption for Electricity: Total,Small-Scale Solar Energy Consumption: Total,Utility-Scale Solar Energy Consumption for Electricity: Commercial Sector,Utility-Scale Solar Energy Consumption for Electricity: Industrial Sector,Utility-Scale Solar Energy Consumption for Electricity:  Electric Power Sector ,Utility-Scale Solar Energy Consumption: Total,Solar Energy Consumption
1986-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1986-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1987-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1987-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1987-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1987-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1987-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1987-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.006,0.006,0.006
1987-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.006,0.006,0.006
1987-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1987-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1987-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1987-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1987-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.001,0.001,0.001
1988-01-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1988-02-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1988-03-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1988-04-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.002,0.002,0.002
1988-05-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1988-06-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.005,0.005,0.005
1988-07-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1988-08-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.004,0.004,0.004
1988-09-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.003,0.003,0.003
1988-10-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1988-11-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1988-12-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0
1989-01-01,2.792,0.002,0.003,0.001,0.005,2.798,No Data Reported,No Data Reported,0.024,0.024,2.821
1989-02-01,3.01,0.002,0.003,0.001,0.006,3.016,No Data Reported,No Data Reported,0.025,0.025,3.041
1989-03-01,4.147,0.003,0.004,0.001,0.008,4.155,No Data Reported,No Data Reported,0.065,0.065,4.22
1989-04-01,4.571,0.003,0.004,0.001,0.008,4.579,No Data Reported,No Data Reported,0.081,0.081,4.66
1989-05-01,5.046,0.003,0.005,0.001,0.009,5.055,No Data Reported,No Data Reported,0.053,0.053,5.109
1989-06-01,5.092,0.003,0.005,0.001,0.009,5.101,No Data Reported,No Data Reported,0.074,0.074,5.175
1989-07-01,5.345,0.004,0.005,0.001,0.01,5.355,No Data Reported,No Data Reported,0.121,0.121,5.476
1989-08-01,5.29,0.004,0.005,0.001,0.01,5.299,No Data Reported,No Data Reported,0.089,0.089,5.389
1989-09-01,4.825,0.003,0.005,0.001,0.009,4.833,No Data Reported,No Data Reported,0.107,0.107,4.941
1989-10-01,4.397,0.003,0.004,0.001,0.008,4.405,No Data Reported,No Data Reported,0.096,0.096,4.501
