Month,"Coal Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Commercial Sector","Coal Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Petroleum Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Natural Gas Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Fossil Gases Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Wood Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Waste Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector","Other Consumption for Electricity Generation and Useful Thermal Output, Industrial Sector"
2004-11-01,158.238,130.593,5.587,2.856,2121.635,2734.448,93.062,21.705,97.423,1.907,7.981
2004-12-01,165.061,169.068,6.342,2.962,2321.378,3639.555,101.582,22.247,107.611,1.945,9.257
2005-01-01,191.986,307.516,5.638,2.876,2251.815,3052.735,92.372,23.67,102.899,3.152,8.033
2005-02-01,168.469,158.07,5.132,2.616,2114.38,1996.217,83.55,21.443,100.268,2.652,7.414
2005-03-01,172.523,131.309,5.668,2.885,2222.009,2169.383,90.495,23.876,97.845,2.96,8.081
2005-04-01,135.398,83.11,5.518,2.668,2022.703,2032.367,87.197,22.607,94.349,2.785,7.605
2005-05-01,135.769,71.359,5.249,2.958,1990.271,1666.987,88.519,23.807,95.756,2.939,7.617
2005-06-01,157.782,116.806,5.998,3.056,2118.166,2024.201,99.618,22.57,93.699,2.897,7.611
2005-07-01,165.825,125.396,7.039,3.097,2260.211,2405.506,110.255,23.433,98.933,2.901,8.722
2005-08-01,161.464,125.951,7.317,2.938,2254.043,2543.255,110.174,22.956,98.947,2.884,9.912
2005-09-01,147.871,112.512,5.683,2.831,2135.047,2219.31,86.794,21.588,94.414,3.277,7.699
2005-10-01,137.989,115.422,5.048,2.62,2114.65,2515.644,74.217,19.879,97.191,2.516,6.628
2005-11-01,156.574,97.389,4.592,2.816,2116.125,2049.333,75.197,18.682,93.646,2.653,7.021
2005-12-01,189.863,185.063,5.076,2.888,2275.304,2704.614,85.219,19.807,98.428,2.805,7.927
2006-01-01,186.066,121.252,5.138,3.172,2216.503,2411.034,91.067,22.58,111.578,3.3,8.254
2006-02-01,169.096,136.513,4.951,2.923,2023.53,2097.637,82.893,21.679,95.658,2.818,7.349
2006-03-01,169.595,125.654,5.338,2.682,2114.585,2069.574,90.684,24.53,99.914,2.702,9.269
2006-04-01,133.678,77.171,4.971,2.936,2049.722,1802.233,84.314,23.575,96.831,2.567,8.462
2006-05-01,138.928,50.542,5.461,3.4,2059.266,1761.527,92.439,24.492,98.21,2.935,8.817
2006-06-01,146.62,50.682,5.815,3.05,2104.449,1676.693,93.681,23.121,97.866,2.379,7.92
2006-07-01,162.546,55.192,6.661,3.041,2201.889,1716.801,103.064,24.86,104.78,2.743,8.501
2006-08-01,162.685,58.231,6.719,3.047,2202.203,1790.677,103.866,24.521,103.143,2.664,8.352
2006-09-01,137.946,49.454,5.591,2.889,2060.525,1722.208,91.307,22.878,100.17,2.507,8.402
2006-10-01,136.275,44.074,6.061,2.984,2073.557,1545.323,97.057,23.526,102.967,2.786,9.263
2006-11-01,159.338,63.949,5.451,3.037,2019.528,1863.055,88.824,20.58,100.216,2.921,8.797
2006-12-01,183.047,102.142,5.578,3.149,2135.813,2249.231,95.4,20.243,104.773,3.115,8.706
2007-01-01,191.138,112.587,5.647,2.622,2002.644,2242.095,96.044,24.077,98.816,5.115,8.516
2007-02-01,185.547,198.071,5.489,2.235,1876.229,2626.747,79.131,20.084,89.975,4.774,7.707
2007-03-01,170.716,102.975,5.217,2.587,1955.622,2232.866,81.203,23.138,95.444,5.287,8.355
2007-04-01,145.995,58.196,5.036,2.524,1849.732,2038.9,80.14,23.05,96.318,2.735,8.293
2007-05-01,142.942,26.066,5.131,2.656,1857.309,1900.588,83.779,23.341,95.544,2.042,8.368
2007-06-01,137.365,37.364,5.827,2.609,1845.374,1725.862,84.703,22.152,93.04,1.88,7.655
2007-07-01,151.135,23.24,6.547,2.74,1868.083,1626.534,90.383,22.477,98.412,1.85,8.151
2007-08-01,161.571,40.852,6.927,2.613,1912.207,1831.507,100.532,23.275,94.982,1.873,8.523
2007-09-01,145.401,28.042,5.965,2.503,1765.222,1436.111,89.435,22.703,92.2,1.769,7.695
2007-10-01,142.319,25.115,6.158,2.64,1829.687,1431.167,89.383,21.675,96.049,2.693,8.507
